CHECK: no com.joulewise.night* label may be loaded
PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
1414	0	com.apple.progressd
-	0	com.apple.enhancedloggingd
855	0	com.apple.cloudphotod
1499	0	com.apple.MENotificationService
667	0	com.apple.Finder
631	0	com.apple.homed
1927	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	us.zoom.updater
781	0	com.apple.mediaremoteagent
661	0	com.apple.FontWorker
698	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	0	com.apple.knowledgeconstructiond
957	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
959	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
636	0	com.apple.nsurlsessiond
1174	0	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
690	0	com.apple.iconservices.iconservicesagent
1045	0	com.apple.diagnosticextensionsd
7714	0	com.apple.intelligenceplatformd
1928	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
621	0	com.apple.ndoagent
683	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
642	0	application.com.apple.Terminal.1152921500311914148.1152921500311914153
729	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
830	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
1581	0	com.apple.installerauthagent
-	0	com.apple.appleaccounttransparencyd
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
734	0	com.apple.ManagedSettingsAgent
755	0	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
829	0	com.apple.ThreadCommissionerService
1840	0	com.apple.tipsd
-	0	com.apple.stickersd
859	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
928	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
639	0	com.apple.CommCenter
630	0	com.apple.trustd.agent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
596	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
604	0	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
