model,calibration_n,analysis_n,effect_sigma,w_over_sigma,trials,timing_shared_width_sigma,timing_local_width_sigma,false_admission,missed_effect,coverage,decision_coverage,floor_predictive_coverage,refusal,equiv_admission,equiv_refusal,component_dominance,joint12_dominance,median_r,median_guarded_floor_sigma
gaussian,5,10,0.0,0.5,30,0.0,0.5,0.0,,0.8083333333333333,0.9611111111111111,1.0,1.0,0.005555555555555556,0.9944444444444445,0.05555555555555555,0.0,1.468075922696158,7.416550803399662
gaussian,5,10,2.0,0.5,30,0.0,0.5,,1.0,0.6583333333333333,0.925,1.0,1.0,0.005555555555555556,0.9944444444444445,0.058333333333333334,0.0,1.472344498574707,7.402513317535279
gaussian,5,10,5.0,0.5,30,0.0,0.5,,0.9305555555555556,0.8138888888888889,0.9833333333333333,1.0,0.9305555555555556,0.0,0.9972222222222222,0.05277777777777778,0.0,1.4945250340324359,7.173152407852723
gaussian,5,30,0.0,0.5,30,0.0,0.5,0.0,,0.5083333333333333,0.875,1.0,1.0,0.011111111111111112,0.9888888888888889,0.03888888888888889,0.0,1.470936609776607,7.348070676936047
gaussian,5,30,2.0,0.5,30,0.0,0.5,,1.0,0.5083333333333333,0.9555555555555556,1.0,1.0,0.0,1.0,0.03611111111111111,0.0,1.483627985650818,7.342020358062527
gaussian,5,30,5.0,0.5,30,0.0,0.5,,0.9472222222222222,0.5694444444444444,0.925,1.0,0.9472222222222222,0.0,0.9944444444444445,0.03333333333333333,0.0,1.4670570351624268,7.439547493016195
gaussian,5,10,0.0,1.0,30,0.0,1.0,0.0,,0.7361111111111112,1.0,1.0,1.0,0.0,1.0,0.45555555555555555,0.0,1.9599444817871876,9.811225680958598
gaussian,5,10,2.0,1.0,30,0.0,1.0,,1.0,0.7611111111111111,0.9972222222222222,1.0,1.0,0.0,1.0,0.4861111111111111,0.0,1.9792396141631228,9.847675029445892
gaussian,5,10,5.0,1.0,30,0.0,1.0,,1.0,0.7305555555555555,0.9916666666666667,1.0,1.0,0.0,1.0,0.44722222222222224,0.0,1.9564115150820172,9.96116967219525
gaussian,5,30,0.0,1.0,30,0.0,1.0,0.0,,0.42777777777777776,0.9944444444444445,1.0,1.0,0.0,1.0,0.4722222222222222,0.0,1.9682005422008202,9.954759613372417
gaussian,5,30,2.0,1.0,30,0.0,1.0,,1.0,0.4861111111111111,1.0,1.0,1.0,0.0,1.0,0.5111111111111111,0.0,2.0076738902076414,9.661604345664447
gaussian,5,30,5.0,1.0,30,0.0,1.0,,1.0,0.5722222222222222,0.9916666666666667,1.0,1.0,0.0,1.0,0.5194444444444445,0.0,2.030993190593163,9.567829360580799
gaussian,5,10,0.0,2.0,30,0.0,2.0,0.0,,0.7027777777777777,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,3.044018297619397,14.973313648288972
gaussian,5,10,2.0,2.0,30,0.0,2.0,,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.9944444444444445,0.9333333333333333,2.967068780020664,15.180836715174252
gaussian,5,10,5.0,2.0,30,0.0,2.0,,1.0,0.7472222222222222,1.0,1.0,1.0,0.0,1.0,0.9861111111111112,0.8333333333333334,3.0546247473165646,14.893226834604157
gaussian,5,30,0.0,2.0,30,0.0,2.0,0.0,,0.4777777777777778,1.0,1.0,1.0,0.0,1.0,0.9944444444444445,0.9333333333333333,2.9524738232211365,14.972785976851151
gaussian,5,30,2.0,2.0,30,0.0,2.0,,1.0,0.5611111111111111,1.0,1.0,1.0,0.0,1.0,0.9888888888888889,0.9,3.0703295084227937,14.835642597025693
gaussian,5,30,5.0,2.0,30,0.0,2.0,,1.0,0.4722222222222222,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,2.9461037626124114,15.040444818115718
gaussian,8,10,0.0,0.5,30,0.0,0.5,0.0,,0.7222222222222222,0.9611111111111111,1.0,1.0,0.2,0.8,0.002777777777777778,0.0,1.439863309134391,4.631710049132343
gaussian,8,10,2.0,0.5,30,0.0,0.5,,1.0,0.65,0.9277777777777778,0.9972222222222222,1.0,0.1527777777777778,0.8333333333333334,0.0,0.0,1.4328170284272326,4.737771189681448
