PID  PPID STARTED                           TIME COMM
    1     0 Fri Sep 18 17:40:48 2026      25:22.56 /sbin/launchd
  337     1 Fri Sep 18 17:41:17 2026      17:44.28 /usr/libexec/logd
  338     1 Fri Sep 18 17:41:17 2026       0:00.14 /usr/libexec/smd
  339     1 Fri Sep 18 17:41:17 2026       0:19.68 /usr/libexec/UserEventAgent
  341     1 Fri Sep 18 17:41:17 2026      57:58.87 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  342     1 Fri Sep 18 17:41:17 2026       0:01.14 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  345     1 Fri Sep 18 17:41:17 2026       0:07.15 /usr/sbin/systemstats
  347     1 Fri Sep 18 17:41:17 2026       0:00.46 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  348     1 Fri Sep 18 17:41:17 2026       0:00.07 /usr/libexec/uarpassetmanagerd
  349     1 Fri Sep 18 17:41:17 2026       1:31.18 /usr/libexec/configd
  350     1 Fri Sep 18 17:41:17 2026       0:00.04 endpointsecurityd
  351     1 Fri Sep 18 17:41:17 2026       0:20.88 /System/Library/CoreServices/powerd.bundle/powerd
  352     1 Fri Sep 18 17:41:17 2026       0:00.04 /usr/libexec/IOMFB_bics_daemon
  354     1 Fri Sep 18 17:41:17 2026       0:01.05 /usr/libexec/amfid
  356     1 Fri Sep 18 17:41:17 2026       0:00.07 /usr/libexec/remoted
  358     1 Fri Sep 18 17:41:17 2026       0:00.14 /usr/libexec/keybagd
  359     1 Fri Sep 18 17:41:17 2026       0:00.54 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  360     1 Fri Sep 18 17:41:17 2026       0:00.03 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  362     1 Fri Sep 18 17:41:17 2026       0:05.08 /usr/libexec/watchdogd
  366     1 Fri Sep 18 17:41:17 2026      24:40.77 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
